,Tile,TreeCover10,Shrubland20,Grassland30,Cropland40,Built_Up50,BareSparseVegetation60,SnowIce70,PermanentWaterBodies80,HerbaceousWetland90,Mangroves95,MossLichen100,ENS score,Average STD
66,34SEJ,61.885133821782055,2.2106544836645567,16.783795603961515,13.936619232590001,1.3537804614241509,0.7808062852502908,0.0,2.9993855202229684,0.049824591104464695,0.0,0.0,0.2995307969170237,0.0401142857142857
67,34SFF,15.093521630636824,6.714391089297991,5.490824644157564,0.2191542217299417,0.30904820105415937,0.15064420848929289,0.0,66.75606969164566,0.016947871311078857,0.0,0.0,0.2980447886111584,0.048716049382716
68,34TCL,12.517225558892225,2.2269360133943468,11.31024327899328,7.268402330902331,2.0319448913198914,0.4301816697650031,0.0,27.07287719266886,0.9696534331950999,0.0,0.0,0.2973911758453951,0.0237586206896551
69,34TCQ,52.76845187698982,0.017364167512157577,14.315694643669314,29.403729489556728,2.3715131371794422,0.12099219815974531,0.0,0.9704096840779485,0.03184480285484379,0.0,0.0,0.2828244443460397,0.0314347826086956
70,34TDK,53.121273548017435,4.269637091466578,32.533309846613655,3.221360268213177,1.154325556906257,1.450797903229553,0.0,4.216983995478161,0.03231179007518331,0.0,0.0,0.2911630968165093,0.0320909090909091
71,34TDM,53.58478459714302,2.3973568215609884,35.16138972013626,5.503092993055163,1.5276856191067698,0.8710571584514332,6.926015847025388e-05,0.9469715619294977,0.007069805958632112,0.0,0.0005224624997647413,0.3525655746008627,0.02495
72,34TDP,63.86871740520786,0.0009750571037003198,26.546304613978986,7.8129476473275465,1.4621763362265874,0.063098035632709,0.0,0.24212992233896757,0.0036509821836455004,0.0,0.0,0.3677633204198327,0.047375
73,34TDQ,30.378311744837287,0.014645885116347665,16.396809386949062,47.65942238033403,3.80488411995554,0.21191785700154314,0.0,1.3641226893234966,0.16988593648269984,0.0,0.0,0.3267086862790531,0.0307333333333333
74,34TEL,48.327418425489235,1.4827415376829576,28.901489422675322,17.23160286330115,1.5211813251304065,0.2558755293235329,0.0,2.1332995948331317,0.14639130156426727,0.0,0.0,0.3489280939232169,0.0400357142857142
75,34TET,21.92674547158859,0.008804874063225806,23.996969777772307,49.96458017542744,2.6426170125919684,0.06136746982597417,0.0,0.7089072261091386,0.6900079926213541,0.0,0.0,0.3751594061456242,0.0366153846153846
76,34TFL,40.37305357222379,5.103486870426173,16.739267000163284,30.978892484450842,3.761539774667122,0.13729719298766457,0.0,2.6255325307643207,0.280930574316802,0.0,0.0,0.3776158160055029,0.0276440677966101
77,34TFN,61.136220041218095,0.002192053266462017,25.139567930592186,10.758980068312509,2.297864873823627,0.1252777897877124,0.0,0.5059240203496332,0.033935751653768,0.0,3.747099600789773e-05,0.3070241311199383,0.0592758620689655
78,34TFP,36.418511073531654,0.00658420457405812,17.88869957350861,42.3757910298544,1.4884131187759024,0.033565546018881905,0.0,1.5376202276747888,0.2508152260617083,0.0,0.0,0.3557888133096286,0.0362
79,34TFT,42.12125930972475,0.04023946244098351,31.540874731773332,24.054544443363042,1.8134916772765584,0.06759543771348062,0.0,0.3130484122239194,0.048946525483933544,0.0,0.0,0.3342206260016494,0.037578947368421
80,34VCL,19.03757500829386,1.478845849545181e-05,4.064241556652859,1.3019103237735807,1.9526601725615926,0.08010513608093033,0.0,53.58172471876049,0.2201335989340479,0.0,0.0,0.3399196493257764,0.051047619047619
81,34VFQ,75.33035804227383,0.0001263525366031575,8.602370738315647,7.27173828091078,0.45469892491793595,0.0378927349462459,0.0,7.2662634385258,1.0349006547753443,0.0,0.0016508327978185734,0.3586890988223016,0.0622916666666666
